 Title, Isbn, CcbcCollection, Genres, Publisher, Subject, Contributors, ContributorTypes, Contributor Identity
321 Awesome! 20 Fearless Women Who Dared to Be Different,9.78125E+12,Non-Fiction,"Biography/History, Board Book",Feiwel and Friends / Macmillan,Multicultural General,"Eva Chen, Derek Desierto","Author, Illustrator","Asian, Female (Eva Chen), Asian, Male (Derek Desierto)"
A Dream of Birds,9.78166E+12,Picture Book,Contemporary,Amazon Crossing Kids,Black/African,"Emmanuelle Tchoukriel, Shenaz Patel, Edwige-Renee Dro","Author, Illustrator, Translator","Female, White (Emmanuelle Tchoukriel), Asian, Black/African, Female, Multiracial (Shenaz Patel), Black/African, Female (Edwige-Renee Dro)"
"A Game for Swallows: To Die, to Leave, to Return (Expanded Edition)",9.78173E+12,Non-Fiction,"Biography/History, Graphic Novel",Graphic Universe / Lerner,"Arab, Asian, Middle East","Zeina Abirached, Zeina Abirached, Edward Gauvin","Author, Illustrator, Translator","Arab, Asian, Female, Middle East, Muslim (Zeina Abirached), Arab, Asian, Female, Middle East, Muslim (Zeina Abirached), Asian, Male (Edward Gauvin)"
A Is for Axolotl: An Unusual Animal ABC,9.78125E+12,Non-Fiction,"Concept, Natural World",Godwin Books / Henry Holt,,Catherine Macorol,Author,"Asian, Female (Catherine Macorol)"
A Life of Service: The Story of Senator Tammy Duckworth,9.78154E+12,Non-Fiction,Biography/History,Candlewick,"Asian, Physical","Christina Soontornvat, Dow Phumiruk","Author, Illustrator","Asian, Female, Multiracial (Christina Soontornvat), Asian, Female (Dow Phumiruk)"
A Magic Steeped in Poison,9.78125E+12,Fiction,Fantasy,Feiwel and Friends / Macmillan,Asian,Judy I. Lin,Author,"Asian, Female (Judy I. Lin)"
A Mermaid Girl,9.78059E+12,Picture Book,Contemporary,Penguin Random House / Viking,"Brown Skin Unspecified, Muslim","Sana Rafi, Olivia Aserr","Author, Illustrator","Asian, Female, Muslim (Sana Rafi), Arab, Black/African, Female, Middle East, Multiracial (Olivia Aserr)"
A Million to One,9.78006E+12,Fiction,Historical,HarperCollins / HarperTeen,"Asian, Black/African, Latinx, LGBTQ Character/Topic",Adiba Jaigirdar,Author,"Asian, Female, LGBTQ, Muslim (Adiba Jaigirdar)"
A Persian Passover,9.78174E+12,Picture Book,Contemporary,Kalaniot,"Asian, Jewish, Middle East","Etan Basseri, Rashin Kheiriyeh","Author, Illustrator","Asian, Jewish, Male, Middle East (Etan Basseri), Asian, Female, Middle East (Rashin Kheiriyeh)"
A Rover's Story,9.78006E+12,Fiction,Science Fiction,Balzer + Bray / HarperCollins,Brown Skin Unspecified,Jasmine Warga,Author,"Arab, Asian, Middle East, Muslim (Jasmine Warga)"
A Scatter of Light,9.78053E+12,Fiction,Contemporary,Dutton / Penguin Random House,"Asian, Gender Nonconformity, LGBTQ Character/Topic",Malinda Lo,Author,Asian (Malinda Lo)
A Secret Princess,9.78198E+12,Fiction,Historical,G. P. Putnam's Sons / Penguin Random House,"Asian, Physical","Margaret Stohl, Melissa de la Cruz",Author,"Female, White (Margaret Stohl), Asian, Female (Melissa de la Cruz)"
A Sliver of Moon and a Shard of Truth: Stories from India,9.78154E+12,Fiction,Contemporary,Candlewick,Asian,"Chitra Soundar, Uma Krishnaswamy","Author, Illustrator","Asian, Female (Chitra Soundar), Asian, Female (Uma Krishnaswamy)"
A Spark in the Dark,9.78006E+12,Picture Book,Animal Fantasy,Greenwillow / HarperCollins,,"Pam Fong, Pam Fong","Author, Illustrator","Asian, Female (Pam Fong), Asian, Female (Pam Fong)"
A Sweet New Year for Ren,9.78153E+12,Picture Book,Contemporary,Paula Wiseman Books / Simon & Schuster,Asian,"Michelle Sterling, Dung Ho","Author, Illustrator","Asian, Female (Michelle Sterling), Asian, Female (Dung Ho)"
"A Venom Dark and Sweet (The Book of Tea, #2)",9.78125E+12,Fiction,"Fantasy, Series Fiction",Feiwel and Friends / Macmillan,Asian,Judy I. Lin,Author,"Asian, Female (Judy I. Lin)"
Adrift,9.78037E+12,Fiction,Contemporary,Farrar Straus Giroux / Macmillan,Asian,Tanya Guerrero,Author,"Asian, Female, Multiracial (Tanya Guerrero)"
"After Life (Blue Bloods, #8)",9.78137E+12,Fiction,"Fantasy, Series Fiction",Buena Vista / Hyperion,Brown Skin Unspecified,Melissa de la Cruz,Author,"Asian, Female (Melissa de la Cruz)"
All Four Quarters of the Moon,9.78153E+12,Fiction,Contemporary,Simon & Schuster,Asian,Shirley Marr,Author,"Asian, Female (Shirley Marr)"
All My Rage,9.78059E+12,Fiction,Contemporary,Penguin Random House / Razorbill,"Asian, Physical, Psychiatric",Sabaa Tahir,Author,"Asian, Female, Muslim (Sabaa Tahir)"
All the Right Reasons,9.78153E+12,Fiction,Contemporary,Margaret K. McElderry Books / Simon & Schuster,"Asian, Physical",Bethany Mangle,Author,"Asian, Female (Bethany Mangle)"
Alone Out Here,9.78137E+12,Fiction,Science Fiction,Buena Vista / Hyperion,"Asian, Multicultural General",Riley Redgate,Author,"Asian, Female, LGBTQ (Riley Redgate)"
Alphabet (Paper Peek),9.78154E+12,Picture Book,"Board Book, Concept",Candlewick / Candlewick Studio,,"Chihiro Takeuchi, Chihiro Takeuchi","Author, Illustrator","Asian, Female (Chihiro Takeuchi), Asian, Female (Chihiro Takeuchi)"
Amah Faraway,9.78155E+12,Picture Book,Contemporary,Bloomsbury,Asian,"Margaret Chiu Greanias, Tracy Subisak","Author, Illustrator","Asian, Female (Margaret Chiu Greanias), Asian, Female (Tracy Subisak)"
Amazing Landmarks: Discover the Hidden Stories Behind 10 Iconic Structures!,9.78134E+12,Non-Fiction,,Scholastic / Scholastic Press,Multicultural General,"Rekha S. Rajan, Alex Asfour","Author, Illustrator","Asian, Female (Rekha S. Rajan), Arab, Asian, Latinx, Male, Middle East (Alex Asfour)"
Amy Wu and the Warm Welcome,9.78153E+12,Picture Book,Contemporary,Simon & Schuster,Asian,"Kat Zhang, Charlene Chua","Author, Illustrator","Asian, Female (Kat Zhang), Asian, Female (Charlene Chua)"
An Arrow to the Moon,9.78032E+12,Fiction,Contemporary,"Little, Brown",Asian,Emily X. R. Pan,Author,"Asian, Female (Emily X. R. Pan)"
"An Unreliable Magic (A Hundred Names for Magic, #2)",9.78149E+12,Fiction,"Fantasy, Series Fiction",Sourcebooks / Sourcebooks Fire,"Asian, LGBTQ Character/Topic",Rin Chupeco,Author,"Asian, Female (Rin Chupeco)"
Anisa's International Day,9.78006E+12,Fiction,Contemporary,Harper / HarperCollins,"Asian, Muslim","Reem Faruqi, Aaliya Jaleel","Author, Illustrator","Asian, Female, Muslim (Reem Faruqi), Asian, Female, Muslim (Aaliya Jaleel)"
Anni Dreams of Biryani,9.78154E+12,Picture Book,Contemporary,Two Lions,Asian,"Namita Moolani Mehra, Chaaya Prabhat","Author, Illustrator","Asian, Female (Namita Moolani Mehra), Asian, Female (Chaaya Prabhat)"
Anzu the Great Kaiju,9.78125E+12,Picture Book,Fantasy,Roaring Brook,Asian,"Benson Shum, Benson Shum","Author, Illustrator","Asian, Male (Benson Shum), Asian, Male (Benson Shum)"
Aru Shah and the End of Time: The Graphic Novel,9.78137E+12,Non-Fiction,"Fantasy, Graphic Novel",Disney-Hyperion / Rick Riordan Presents,"Asian, Other Religion","Roshani Chokshi, Joe Caramagna, Anu Chouhan","Author, Illustrator","Asian, Female, Multiracial (Roshani Chokshi), Male, White (Joe Caramagna), Asian, Female (Anu Chouhan)"
"Aru Shah and the Nectar of Immortality (Pandava Quintet, #5)",9.78137E+12,Fiction,"Fantasy, Series Fiction",Disney / Rick Riordan Presents,"Asian, Other Religion",Roshani Chokshi,Author,"Asian, Female, Multiracial (Roshani Chokshi)"
Azar on Fire,9.78059E+12,Fiction,Contemporary,Nancy Paulsen Books / Penguin Random House,"Asian, Latinx, LGBTQ Character/Topic, Middle East",Olivia Abtahi,Author,"Asian, Female, Latinx, Middle East (Olivia Abtahi)"
Beating Heart Baby,9.78125E+12,Fiction,Contemporary,Flatiron,"Asian, LGBTQ Character/Topic",Lio Min,Author,"Asian, LGBTQ, Other Gender, Transgender (Lio Min)"
Beauty and the Besharam,9.78059E+12,Fiction,Contemporary,Penguin Random House / Viking,Asian,Lillie Vale,Author,"Asian, Female, LGBTQ (Lillie Vale)"
Berry Song,9.78032E+12,Picture Book,Contemporary,"Little, Brown",Indigenous,"Michaela Goade, Michaela Goade","Author, Illustrator","Asian, Female, Indigenous, Multiracial (Michaela Goade), Asian, Female, Indigenous, Multiracial (Michaela Goade)"
Between the Lighthouse and You,9.78037E+12,Fiction,Contemporary,Farrar Straus Giroux / Macmillan,Psychiatric,Michelle Lee,Author,"Asian, Female (Michelle Lee)"
Bharatanatyam in Ballet Shoes,9.78177E+12,Picture Book,Contemporary,Annick,Asian,"Mahak Jain, Anu Chouhan","Author, Illustrator","Asian, Female (Mahak Jain), Asian, Female (Anu Chouhan)"
Blanket,9.78177E+12,Picture Book,Animal Fantasy,Groundwood / House of Anansi,,"Ruth Ohi, Ruth Ohi","Author, Illustrator","Asian, Female (Ruth Ohi), Asian, Female (Ruth Ohi)"
Bonnie's Rocket,9.78164E+12,Picture Book,Historical,Lee & Low,Asian,"Emeline Lee, Alina Chau","Author, Illustrator","Asian, Female (Emeline Lee), Asian, Female (Alina Chau)"
Boobies,9.78177E+12,Picture Book,,Groundwood / House of Anansi,,"Nancy Vo, Nancy Vo","Author, Illustrator","Asian, Female (Nancy Vo), Asian, Female (Nancy Vo)"
Boys I Know,9.78168E+12,Fiction,Contemporary,Peachtree,Asian,Anna Gracia,Author,"Asian, Female, Multiracial (Anna Gracia)"
Bright,9.78153E+12,Fiction,Contemporary,Simon & Schuster,Asian,Jessica Jung,Author,"Asian, Female (Jessica Jung)"
Brown Is Beautiful,9.78037E+12,Picture Book,Contemporary,Farrar Straus Giroux / Macmillan,Asian,"Supriya Kelkar, Noor Sofi","Author, Illustrator","Asian (Supriya Kelkar), Asian, Female (Noor Sofi)"
Cafe Con Lychee,9.78006E+12,Fiction,Contemporary,HarperCollins / Quill Tree,"Asian, Latinx, LGBTQ Character/Topic",Emery Lee,Author,"Asian, Black/African, Latinx, LGBTQ, Male, Multiracial, Transgender (Emery Lee)"
"Call of the Crow (Skyborn, #2)",9.78134E+12,Fiction,"Fantasy, Series Fiction",Scholastic / Scholastic Press,,Jessica Khoury,Author,"Arab, Asian, Female, Middle East (Jessica Khoury)"
Careful What You Wish For,9.78146E+12,Fiction,Contemporary,Orca,"Asian, LGBTQ Character/Topic",Mahtab Narsimhan,Author,"Asian, Female (Mahtab Narsimhan)"
"Chirri & Chirra, in the Night",9.78159E+12,Picture Book,Fantasy,Enchanted Lion,Asian,"Kaya Doi, Kaya Doi, David Boyd","Author, Illustrator, Translator","Asian, Female (Kaya Doi), Asian, Female (Kaya Doi), Male, White (David Boyd)"
Cinder & Glass,9.78059E+12,Fiction,Historical,Penguin Random House / Putnam,,Melissa de la Cruz,Author,"Asian, Female (Melissa de la Cruz)"
Cold,9.78163E+12,Fiction,Fantasy,Roaring Brook,"Asian, LGBTQ Character/Topic",Mariko Tamaki,Author,"Asian, Female, LGBTQ, Multiracial (Mariko Tamaki)"
Colors of Awesome! 24 Bold Women Who Inspired the World,9.78125E+12,Picture Book,Board Book,Feiwel and Friends / Macmillan,Multicultural General,"Eva Chen, Derek Desierto","Author, Illustrator","Asian, Female (Eva Chen), Asian, Male (Derek Desierto)"
"Creature: Paintings, Drawings, and Reflections",9.78165E+12,Non-Fiction,,Levine Querido,,"Shaun Tan, Shaun Tan","Author, Illustrator","Asian, Male, Multiracial (Shaun Tan), Asian, Male, Multiracial (Shaun Tan)"
Creep: A Love Story,9.78036E+12,Fiction,Contemporary,Clarion / HarperCollins,Asian,Lygia Day Penaflor,Author,"Asian, Female (Lygia Day Penaflor)"
"Crimson Reign (Blood Heir, #3)",9.78053E+12,Fiction,"Fantasy, Series Fiction",Delacorte / Penguin Random House,,Amelie Wen Zhao,Author,"Asian, Female (Amelie Wen Zhao)"
"Crown of Flames (The Fire Queen, #2)",9.78134E+12,Fiction,"Fantasy, Series Fiction",Scholastic / Scholastic Press,Asian,"Sayantani DasGupta, Vivienne To","Author, Illustrator","Asian, Female (Sayantani DasGupta), Asian, Female (Vivienne To)"
"Dad, Don't Miss It!",9.78166E+12,Picture Book,Contemporary,Astra / MineditionUS,Asian,Qiaoqiao Li,Author,"Asian, Female (Qiaoqiao Li)"
Dadaji's Paintbrush,9.78165E+12,Picture Book,Contemporary,Levine Querido,Asian,"Rashmi Sirdeshpande, Ruchi Mhasane","Author, Illustrator","Asian, Female (Rashmi Sirdeshpande), Asian, Female (Ruchi Mhasane)"
"Daughters of the Dawn (Sisters of the Snake, #2)",9.78006E+12,Fiction,"Fantasy, Series Fiction",HarperCollins / HarperTeen,Asian,"Sarena Nanua, Sasha Nanua",Author,"Asian, Female, Other Religion (Sarena Nanua), Asian, Female, Other Religion (Sasha Nanua)"
Dauntless,9.78125E+12,Fiction,Fantasy,Feiwel and Friends / Macmillan / Swoon Reads,Asian,Elisa A. Bonnin,Author,"Asian, Female (Elisa A. Bonnin)"
Debating Darcy,9.78134E+12,Fiction,Contemporary,Scholastic / Scholastic Press,"Asian, Muslim, Other Religion",Sayantani DasGupta,Author,"Asian, Female (Sayantani DasGupta)"
Deep in Providence,9.78125E+12,Fiction,Fantasy,Henry Holt / Macmillan,"Asian, Black/African, Christian, Latinx, LGBTQ Character/Topic, Psychiatric",Riss M. Neilson,Author,"Asian, Black/African, Female, Multiracial (Riss M. Neilson)"
Depth of Field,9.78146E+12,Fiction,Contemporary,Orca,"Asian, Black/African, Brown Skin Unspecified, LGBTQ Character/Topic, LGBTQ Family",Natasha Deen,Author,"Asian, Black/African, Female, Latinx, Multiracial (Natasha Deen)"
"Diana and the Journey to the Unknown (Wonder Woman Adventures, #3)",9.78059E+12,Fiction,"Fantasy, Series Fiction",Random House,,Aisha Saeed,Author,"Asian, Female, Muslim (Aisha Saeed)"
Dinos Don't Give Up!,9.78168E+12,Picture Book,Animal Fantasy,Tiger Tales,,"Smriti Prasadam-Halls, Richard Merritt","Author, Illustrator","Asian, Female (Smriti Prasadam-Halls), Male, White (Richard Merritt)"
Direwood,9.78165E+12,Fiction,Fantasy,Page Street,Asian,Catherine Yu,Author,"Asian, Female (Catherine Yu)"
"Dona Esmeralda, Who Ate Everything!",9.78134E+12,Picture Book,Fantasy,Orchard / Scholastic,,"Melissa de la Cruz, Primo Gallanosa","Author, Illustrator","Asian, Female (Melissa de la Cruz), Asian, Male (Primo Gallanosa)"
Dragon Noodle Party: A Story of Chinese Zodiac Animals,9.78082E+12,Picture Book,Animal Fantasy,Holiday House,Asian,"Ying Chang Compestine, Paula Pang","Author, Illustrator","Asian, Female (Ying Chang Compestine), Asian, Female (Paula Pang)"
Dragonfly Eyes,9.78154E+12,Fiction,Historical,Candlewick,Asian,"Cao Wenxuan, Helen Wang","Author, Translator","Asian, Male (Cao Wenxuan), Asian, Female (Helen Wang)"
"Dream, Annie, Dream",9.78006E+12,Fiction,Historical,HarperCollins / Quill Tree,"Asian, Christian",Waka T. Brown,Author,"Asian, Female (Waka T. Brown)"
Drip,9.78154E+12,Picture Book,Board Book,Candlewick / Templar,,"Maggie Li, Maggie Li","Author, Illustrator","Asian, Female (Maggie Li), Asian, Female (Maggie Li)"
Eternally Yours: 15 Stories of Paranormal Love to Capture Your Heart and Resurrect Your Soul,9.78059E+12,Fiction,"Anthology, Fantasy",Penguin Random House / Viking,"LGBTQ Character/Topic, Multicultural General","Patrice Caldwell, Kendare Blake, Chloe Gong, Julian Winters, Alexis Henderson, Sandhya Menon, Sarah Gailey, Marie Ruthkoski, Akshaya Raman, Adib Khorram, Kalynn Bayron, Melissa de la Cruz, Kat Cho, Hafsah Faizal, Casey McQuiston, Anna-Marie McLemore","Author, Compiler","Black/African, Female (Patrice Caldwell), Asian, Female (Kendare Blake), Asian, Female (Chloe Gong), Black/African, LGBTQ, Male (Julian Winters), Female, Heritage Unknown (Alexis Henderson), Asian, Female (Sandhya Menon), LGBTQ, Other Gender, Transgender, White (Sarah Gailey), Female, White (Marie Ruthkoski), Asian, Female (Akshaya Raman), Asian, Male, Middle East (Adib Khorram), Black/African, Female, LGBTQ (Kalynn Bayron), Asian, Female (Melissa de la Cruz), Asian (Kat Cho), Asian, Female, Muslim (Hafsah Faizal), LGBTQ, Other Gender, Transgender, White (Casey McQuiston), Cognitive/Neurological, Latinx, LGBTQ, Other Gender, Transgender (Anna-Marie McLemore)"
Eyes that Speak to the Stars,9.78006E+12,Picture Book,Contemporary,Harper / HarperCollins,Asian,"Joanna Ho, Dung Ho","Author, Illustrator","Asian, Female (Joanna Ho), Asian, Female (Dung Ho)"
"Feather and Flame (Queen's Council, #2)",9.78137E+12,Fiction,"Fantasy, Historical, Series Fiction",Disney-Hyperion,Asian,Livia Blackburne,Author,"Asian, Female (Livia Blackburne)"
Fenris & Mott,9.78006E+12,Fiction,Fantasy,Harper / HarperCollins,Asian,Greg van Eekhout,Author,"Asian, Male, Multiracial (Greg van Eekhout)"
Fight Back,9.78164E+12,Fiction,Contemporary,Lee & Low / Tu,"Asian, Black/African, Middle East, Muslim",A. M. Dassu,Author,"Arab, Asian, Female, Middle East, Muslim (A. M. Dassu)"
Final Cut,9.78146E+12,Fiction,Contemporary,Orca,,Marty Chan,Author,"Asian, Male (Marty Chan)"
Find My Family (Waffles + Mochi),9.78059E+12,Picture Book,"Fantasy, Media Tie-in",Golden / Penguin Random House / Random House,Asian,"Mei Nakamura, Sarah Rebar","Author, Illustrator","Asian, Female (Mei Nakamura), Female, White (Sarah Rebar)"
Flip the Script,9.78006E+12,Fiction,Contemporary,HarperCollins / Katherine Tegen Books,"Asian, LGBTQ Character/Topic",Lyla Lee,Author,"Asian, Female (Lyla Lee)"
Forest Fighter: The Story of Chico Mendes,9.78162E+12,Non-Fiction,Biography/History,Crocodile / Interlink,Latinx,"Anita Ganeri, Margaux Carpentier","Author, Illustrator","Asian, Female (Anita Ganeri), Female, White (Margaux Carpentier)"
Forest Giants (Elinor Wonders Why),9.78153E+12,Picture Book,"Animal Fantasy, Media Tie-in",Kids Can,,"Jorge Cham, Daniel Whiteson",Author,"Asian, Male (Jorge Cham), Male, White (Daniel Whiteson)"
Foul Lady Fortune,9.78167E+12,Fiction,"Fantasy, Historical",Margaret K. McElderry Books / Simon & Schuster,"Asian, LGBTQ Character/Topic",Chloe Gong,Author,"Asian, Female (Chloe Gong)"
Freddie vs. the Family Curse,9.78036E+12,Fiction,Fantasy,Clarion / HarperCollins,Asian,Tracy Badua,Author,"Asian, Female (Tracy Badua)"
"Friends Fur-ever (Must Love Pets, #1)",9.78134E+12,Fiction,"Contemporary, Series Fiction",Scholastic,Asian,Saadia Faruqi,Author,"Asian, Female, Muslim (Saadia Faruqi)"
Generation Wonder: The New Age of Heroes,9.78142E+12,Fiction,"Anthology, Science Fiction",Abrams,Multicultural General,"Barry Lyga, Colleen Doran, Lamar Giles, Joseph Bruchac, Morgan Baden, Elizabeth Eulberg, Danielle Paige, Varian Johnson, Axie Oh, Anna-Marie McLemore, Barry Lyga, Sarah MacLean, Matthew Phillion, Sterling Gates","Author, Compiler, Illustrator","Male, White (Barry Lyga), Female, White (Colleen Doran), Black/African, Male (Lamar Giles), Indigenous, Male (Joseph Bruchac), Female, White (Morgan Baden), Female, White (Elizabeth Eulberg), Black/African, Female (Danielle Paige), Black/African, Male (Varian Johnson), Asian, Female (Axie Oh), Cognitive/Neurological, Latinx, LGBTQ, Other Gender, Transgender (Anna-Marie McLemore), Male, White (Barry Lyga), Female, White (Sarah MacLean), Male, White (Matthew Phillion), Male, White (Sterling Gates)"
"Geraldine Pu and Her Cat Hat, Too!",9.78153E+12,Non-Fiction,"Contemporary, Graphic Novel, Series Fiction",Simon & Schuster / Simon Spotlight,Asian,"Maggie P. Chang, Maggie P. Chang","Author, Illustrator","Asian, Female (Maggie P. Chang), Asian, Female (Maggie P. Chang)"
Ghostcloud,9.78168E+12,Fiction,Fantasy,Peachtree,Asian,Michael B. Mann,Author,"Asian, LGBTQ, Male, Multiracial (Michael B. Mann)"
Gibberish,9.78165E+12,Picture Book,Contemporary,Levine Querido,Asian,"Young Vo, Young Vo","Author, Illustrator","Asian, Male (Young Vo), Asian, Male (Young Vo)"
Gigi and Ojiji,9.78006E+12,Picture Book,"Contemporary, Easy Reader",Harper / HarperCollins,Asian,"Melissa Iwai, Melissa Iwai","Author, Illustrator","Asian, Female (Melissa Iwai), Asian, Female (Melissa Iwai)"
Godslayers,9.78125E+12,Fiction,"Fantasy, Series Fiction",Feiwel and Friends / Macmillan,"Asian, LGBTQ Character/Topic",Zoe Hana Mikuta,Author,"Asian, Female (Zoe Hana Mikuta)"
Gold Mountain,9.78173E+12,Fiction,Historical,Carolrhoda Lab / Lerner,Asian,Betty G. Yee,Author,"Asian, Female (Betty G. Yee)"
Golden Domes and Silver Lanterns,9.7818E+12,Picture Book,"Board Book, Concept",Chronicle,Muslim,"Hena Khan, Mehrdokht Amini","Author, Illustrator","Asian, Female, Muslim (Hena Khan), Asian, Female, Middle East (Mehrdokht Amini)"
Golden Girl,9.78006E+12,Fiction,Contemporary,Harper / HarperCollins,"Asian, Muslim",Reem Faruqi,Author,"Asian, Female, Muslim (Reem Faruqi)"
Great or Nothing,9.78059E+12,Fiction,Historical,Delacorte / Penguin Random House,LGBTQ Character/Topic,"Joy McCullough, Caroline Tung Richmond, Tess Sharpe, Jessica Spotswood",Author,"Female, White (Joy McCullough), Asian, Female (Caroline Tung Richmond), Female, White (Tess Sharpe), Female, White (Jessica Spotswood)"
Grow: A Family Guide to Plants and How to Grow Them,9.78142E+12,Non-Fiction,,Abrams / Magic Cat,,"Riz Reyes, Sara Boccaccini Meadows","Author, Illustrator","Asian, Male (Riz Reyes), Female, White (Sara Boccaccini Meadows)"
Hana Hsu and the Ghost Crab Nation,9.78059E+12,Fiction,Science Fiction,Penguin Random House / Razorbill,"Asian, Jewish, Latinx",Sylvia Liu,Author,"Asian, Female (Sylvia Liu)"
Hang in There!,9.78142E+12,Picture Book,Animal Fantasy,Abrams / Abrams Appleseed,,"Sabrina Moyle, Eunice Moyle","Author, Illustrator","Asian, Female (Sabrina Moyle), Asian, Female (Eunice Moyle)"
"Have You Eaten? A Story of Food, Friendship, and Kindness",9.78125E+12,Picture Book,Animal Fantasy,Feiwel and Friends / Macmillan,Asian,"Su Youn Lee, Su Youn Lee","Author, Illustrator","Asian, Female (Su Youn Lee), Asian, Female (Su Youn Lee)"
"Her Rebel Highness (Daughters of the Dynasty, #2)",9.78142E+12,Fiction,"Historical, Series Fiction",Abrams / Amulet,Asian,Diana Ma,Author,"Asian, Female (Diana Ma)"
